,Àmbit territorial,Codi territorial,Nom territori,Any,Període,Habitatges,Renda
543,Municipi,43124,"Riba, la",2022,gener - desembre,13,313.08
544,Municipi,43125,Riba-roja d'Ebre,2022,gener - desembre,10,354.0
546,Municipi,25185,Ribera d'Urgellet,2022,gener - desembre,10,487.0
547,Municipi,17145,Ribes de Freser,2022,gener - desembre,29,442.92
548,Municipi,17146,Riells i Viabrea,2022,gener - desembre,40,747.88
549,Municipi,43126,"Riera de Gaià, la",2022,gener - desembre,24,505.62
551,Municipi,17147,Ripoll,2022,gener - desembre,285,449.71
552,Municipi,8180,Ripollet,2022,gener - desembre,481,663.8
554,Municipi,17148,Riudarenes,2022,gener - desembre,21,614.52
556,Municipi,43127,Riudecanyes,2022,gener - desembre,10,481.96
557,Municipi,43128,Riudecols,2022,gener - desembre,32,471.56
558,Municipi,17150,Riudellots de la Selva,2022,gener - desembre,26,712.88
559,Municipi,43129,Riudoms,2022,gener - desembre,82,475.28
561,Municipi,8181,"Roca del Vallès, la",2022,gener - desembre,139,737.57
562,Municipi,43130,Rocafort de Queralt,2022,gener - desembre,8,375.62
563,Municipi,43131,Roda de Berà,2022,gener - desembre,152,599.25
564,Municipi,8183,Roda de Ter,2022,gener - desembre,106,514.97
566,Municipi,43133,Roquetes,2022,gener - desembre,149,375.56
567,Municipi,17152,Roses,2022,gener - desembre,355,533.36
568,Municipi,25189,Rosselló,2022,gener - desembre,21,442.38
569,Municipi,43134,"Rourell, el",2022,gener - desembre,11,440.45
570,Municipi,8184,Rubí,2022,gener - desembre,1202,688.22
572,Municipi,17153,Rupià,2022,gener - desembre,6,812.5
574,Municipi,8187,Sabadell,2022,gener - desembre,3897,703.45
577,Municipi,8190,Saldes,2022,gener - desembre,11,366.82
579,Municipi,8191,Sallent,2022,gener - desembre,59,415.21
580,Municipi,43135,Salomó,2022,gener - desembre,10,327.7
581,Municipi,43905,Salou,2022,gener - desembre,679,591.21
582,Municipi,17155,Salt,2022,gener - desembre,484,516.47
584,Municipi,8194,Sant Adrià de Besòs,2022,gener - desembre,528,837.12
586,Municipi,8196,Sant Andreu de la Barca,2022,gener - desembre,319,681.4
587,Municipi,8197,Sant Andreu de Llavaneres,2022,gener - desembre,198,1010.19
590,Municipi,8198,Sant Antoni de Vilamajor,2022,gener - desembre,94,688.94
591,Municipi,8199,Sant Bartomeu del Grau,2022,gener - desembre,15,452.33
592,Municipi,8200,Sant Boi de Llobregat,2022,gener - desembre,1054,738.94
593,Municipi,8201,Sant Boi de Lluçanès,2022,gener - desembre,9,402.22
594,Municipi,8203,Sant Cebrià de Vallalta,2022,gener - desembre,30,629.5
595,Municipi,8202,Sant Celoni,2022,gener - desembre,402,650.7
596,Municipi,8204,Sant Climent de Llobregat,2022,gener - desembre,67,813.73
597,Municipi,17158,Sant Climent Sescebes,2022,gener - desembre,11,480.91
598,Municipi,8205,Sant Cugat del Vallès,2022,gener - desembre,1995,1240.95
600,Municipi,8207,Sant Esteve de Palautordera,2022,gener - desembre,79,676.97
601,Municipi,8208,Sant Esteve Sesrovires,2022,gener - desembre,86,808.66
602,Municipi,17159,Sant Feliu de Buixalleu,2022,gener - desembre,8,673.31
603,Municipi,8210,Sant Feliu de Codines,2022,gener - desembre,214,636.72
604,Municipi,17160,Sant Feliu de Guíxols,2022,gener - desembre,441,621.75
605,Municipi,8211,Sant Feliu de Llobregat,2022,gener - desembre,681,826.18
606,Municipi,17161,Sant Feliu de Pallerols,2022,gener - desembre,31,452.81
607,Municipi,8212,Sant Feliu Sasserra,2022,gener - desembre,7,486.57
608,Municipi,8209,Sant Fost de Campsentelles,2022,gener - desembre,54,886.31
609,Municipi,8213,Sant Fruitós de Bages,2022,gener - desembre,127,552.09
610,Municipi,17163,Sant Gregori,2022,gener - desembre,47,857.49
611,Municipi,25192,Sant Guim de Freixenet,2022,gener - desembre,23,333.7
612,Municipi,17164,Sant Hilari Sacalm,2022,gener - desembre,124,408.76
613,Municipi,8215,Sant Hipòlit de Voltregà,2022,gener - desembre,48,488.17
614,Municipi,8193,Sant Iscle de Vallalta,2022,gener - desembre,16,558.18
615,Municipi,17165,Sant Jaume de Llierca,2022,gener - desembre,19,442.89
616,Municipi,43137,Sant Jaume dels Domenys,2022,gener - desembre,27,589.81
617,Municipi,43902,Sant Jaume d'Enveja,2022,gener - desembre,41,357.97
