CODI_10,NOM_ENS,ANY,TOTAL,HOMES,DONES
1701440003,Ajuntament de la Vajol,2004,103,,
0810000000,Ajuntament de Gurb,2015,2545,,
0823620002,Ajuntament de Sant Quintí de Mediona,2007,2131,1097,1034
0816290004,Ajuntament dels Hostalets de Pierola,2008,2426,1275,1151
1704480001,Ajuntament de Cassà de la Selva,2008,9256,4774,4482
4303980001,Ajuntament de Capafonts,2019,121,,
2520560009,Ajuntament de Sidamon,1995,459,,
0817050006,Ajuntament dels Prats de Rei,2009,538,,
0828770005,Ajuntament de Torrelavit,2000,1172,,
7000270005,Entitat Municipal Descentralitzada d'Arànser,2018,43,20,21
2503280001,Ajuntament d'Arsèguel,1994,113,,
8104020002,Consell Comarcal del Vallès Occidental,2003,773800,0,0
2513860009,Ajuntament de Montgai,1998,794,,
4302520002,Ajuntament de Benifallet,1995,927,,
1712080001,Ajuntament de Palau-saverdera,1996,753,,
2515810007,Ajuntament del Palau d'Anglesola,2006,1883,,
0805170005,Ajuntament de Castellar del Vallès,2004,19475,,
0826280001,Ajuntament de Sant Vicenç de Castellet,2004,7532,,
1720390004,Ajuntament d'Ultramort,2018,214,117,97
4317320002,Ajuntament de la Vilella Alta,1990,144,,
2514100000,Ajuntament de Montoliu de Segarra,2018,190,105,85
1709040003,Ajuntament de Llambilles,1995,455,,
4315670005,Ajuntament d'Ulldecona,2014,6904,3551,3353
4304830008,Ajuntament de Corbera d'Ebre,2017,1061,566,495
1719590004,Ajuntament de la Tallada d'Empordà,2008,401,208,193
2521670005,Ajuntament de Talavera,2013,279,156,123
4309010007,Ajuntament del Montmell,2021,1730,924,806
2521920002,Ajuntament de Tarroja de Segarra,2004,164,,
0802530008,Ajuntament del Bruc,2009,1904,,
4314180001,Ajuntament de Pontils,2001,147,,
1706810007,Ajuntament de Foixà,2005,329,169,160
1719460009,Ajuntament de Susqueda,1992,99,,
2525160009,Ajuntament de Vilanova de Segrià,1995,682,,
1718050006,Ajuntament de Santa Coloma de Farners,1998,8594,,
2513990004,Ajuntament de Montellà i Martinet,2006,606,,
1710190004,Ajuntament de Massanes,1998,492,,
1719590004,Ajuntament de la Tallada d'Empordà,2021,466,247,219
4302340003,Ajuntament de Bellmunt del Priorat,1996,303,,
0808980001,Ajuntament de Gavà,1991,35204,,
0829940003,Ajuntament de Vilada,2000,522,,
4309440003,Ajuntament de Móra la Nova,2002,2922,0,0
2512880001,Ajuntament de Llimiana,2012,183,,
1710580001,Ajuntament de Mieres,1996,300,,
0813980001,Ajuntament de Mura,2015,203,,
1713490004,Ajuntament de Planoles,2003,292,0,0
2517130008,Ajuntament de la Pobla de Segur,1995,3076,,
7002390004,Entitat Municipal Descentralitzada d'Espui,1991,190,,
1708900000,Ajuntament de Llagostera,2020,8647,,
1713520002,Ajuntament de Pont de Molins,2002,446,0,0
1715820002,Ajuntament de Sant Climent Sescebes,2009,513,,
2515000000,Ajuntament d'Oliola,1999,219,,
7007170005,Entitat Municipal Descentralitzada de Bellaterra,2015,2661,1335,1326
2522060009,Ajuntament de Térmens,1996,1401,,
4306720002,Ajuntament de Ginestar,2018,762,403,359
2506160009,Ajuntament de Cabó,2009,95,,
1720010007,Ajuntament de Tortellà,2001,710,,
4302130008,Ajuntament de Barberà de la Conca,2012,526,,
1719970005,Ajuntament de Torroella de Montgrí,2012,11494,,
2590100000,Ajuntament de Vall de Cardós,2002,336,0,0
2500300000,Ajuntament d'Agramunt,1990,4775,,
1719780001,Ajuntament de Torrent,2020,164,,
4315080001,Ajuntament de Tivissa,2006,1788,,
1712670005,Ajuntament de Parlavà,1992,334,,
0811920002,Ajuntament de Masquefa,1995,3213,,
2590970005,Ajuntament de la Vansa i Fórnols,2005,191,103,88
2524450006,Ajuntament de Vilagrassa,1999,434,,
0828830008,Ajuntament de Torrelles de Foix,2018,2281,1219,1062
0824950006,Ajuntament de Santa Fe del Penedès,2011,408,208,200
1708710007,Ajuntament de Juià,2001,260,,
0807900000,Ajuntament de l'Estany,2013,411,203,208
1709980001,Ajuntament de Meranges,1995,72,,
4304610007,Ajuntament de Conesa,2021,106,52,54
0824230008,Ajuntament de Marganell,1990,208,,
1720390004,Ajuntament d'Ultramort,1990,205,,
